"chromosome","start","end","tissue","tissue_type","query"
"chr11",103399427,103548803,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","11:103399427:103548803"
"chr4",215006,219065,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","4:215006:219065"
"chr4",33017536,33018895,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","4:33017536:33018895"
"chr4",33019057,33024123,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","4:33019057:33024123"
"chr4",33026222,33026300,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","4:33026222:33026300"
"chr4",35833780,35836451,"ES2_OVARY_AA_amplicon4_amplicon4","OVARY","4:35833780:35836451"
"chr15",100466178,102360336,"FADU_UPPER_AERODIGESTIVE_TRACT_AA_amplicon13_amplicon13","UPPER","15:100466178:102360336"
"chr22",46218440,47502471,"FADU_UPPER_AERODIGESTIVE_TRACT_AA_amplicon6_amplicon6","UPPER","22:46218440:47502471"
"chr1",9249312,10482501,"FU97_STOMACH_AA_amplicon24_amplicon24","STOMACH","1:9249312:10482501"
"chr1",10483768,11099805,"FU97_STOMACH_AA_amplicon24_amplicon24","STOMACH","1:10483768:11099805"
"chr1",11101793,12909374,"FU97_STOMACH_AA_amplicon24_amplicon24","STOMACH","1:11101793:12909374"
"chr1",12942538,13183552,"FU97_STOMACH_AA_amplicon24_amplicon24","STOMACH","1:12942538:13183552"
"chr1",13187537,13219911,"FU97_STOMACH_AA_amplicon24_amplicon24","STOMACH","1:13187537:13219911"
"chr19",39138905,39786270,"FUOV1_OVARY_AA_amplicon14_amplicon14","OVARY","19:39138905:39786270"
"chr17",42625610,43210557,"FUOV1_OVARY_AA_amplicon16_amplicon16","OVARY","17:42625610:43210557"
"chr8",128691765,129465167,"FUOV1_OVARY_AA_amplicon3_amplicon3","OVARY","8:128691765:129465167"
"chr8",129471266,129615589,"FUOV1_OVARY_AA_amplicon3_amplicon3","OVARY","8:129471266:129615589"
"chr3",195242310,195506085,"FUOV1_OVARY_AA_amplicon6_amplicon6","OVARY","3:195242310:195506085"
"chr3",195506788,195727721,"FUOV1_OVARY_AA_amplicon6_amplicon6","OVARY","3:195506788:195727721"
"chr3",196056914,196654082,"FUOV1_OVARY_AA_amplicon6_amplicon6","OVARY","3:196056914:196654082"
"chr4",1334467,1423173,"FUOV1_OVARY_AA_amplicon6_amplicon6","OVARY","4:1334467:1423173"
"chr5",176034395,176387586,"FUOV1_OVARY_AA_amplicon6_amplicon6","OVARY","5:176034395:176387586"
"chr5",176390180,177025966,"FUOV1_OVARY_AA_amplicon6_amplicon6","OVARY","5:176390180:177025966"
"chr17",73237357,74069367,"FUOV1_OVARY_AA_amplicon6_amplicon6","OVARY","17:73237357:74069367"
"chrX",52886720,55678958,"GAMG_CENTRAL_NERVOUS_SYSTEM_AA_amplicon3_amplicon3","CENTRAL","X:52886720:55678958"
"chr18",19573363,19973327,"GCIY_STOMACH_AA_amplicon10_amplicon10","STOMACH","18:19573363:19973327"
"chr19",45099675,45330882,"GCIY_STOMACH_AA_amplicon11_amplicon11","STOMACH","19:45099675:45330882"
"chr19",45568227,45859463,"GCIY_STOMACH_AA_amplicon12_amplicon12","STOMACH","19:45568227:45859463"
"chr1",168631214,168950561,"GCIY_STOMACH_AA_amplicon2_amplicon2","STOMACH","1:168631214:168950561"
"chr17",57920255,57939618,"GCIY_STOMACH_AA_amplicon7_amplicon7","STOMACH","17:57920255:57939618"
"chr1",58916721,59956682,"GI1_CENTRAL_NERVOUS_SYSTEM_AA_amplicon14_amplicon14","CENTRAL","1:58916721:59956682"
"chr1",69576861,69608386,"GI1_CENTRAL_NERVOUS_SYSTEM_AA_amplicon14_amplicon14","CENTRAL","1:69576861:69608386"
"chr1",77498659,78202439,"GI1_CENTRAL_NERVOUS_SYSTEM_AA_amplicon14_amplicon14","CENTRAL","1:77498659:78202439"
"chr1",104484709,104486685,"GI1_CENTRAL_NERVOUS_SYSTEM_AA_amplicon14_amplicon14","CENTRAL","1:104484709:104486685"
"chr1",107669249,107670025,"GI1_CENTRAL_NERVOUS_SYSTEM_AA_amplicon14_amplicon14","CENTRAL","1:107669249:107670025"
"chr1",117435427,117517774,"GI1_CENTRAL_NERVOUS_SYSTEM_AA_amplicon14_amplicon14","CENTRAL","1:117435427:117517774"
"chrY",9067820,9076672,"GI1_CENTRAL_NERVOUS_SYSTEM_AA_amplicon14_amplicon14","CENTRAL","Y:9067820:9076672"
"chr5",29352461,29354692,"GI1_CENTRAL_NERVOUS_SYSTEM_AA_amplicon14_amplicon14","CENTRAL","5:29352461:29354692"
"chr8",103760577,104052118,"GI1_CENTRAL_NERVOUS_SYSTEM_AA_amplicon8_amplicon8","CENTRAL","8:103760577:104052118"
"chr14",51740772,51999047,"HARA_LUNG_AA_amplicon10_amplicon10","LUNG","14:51740772:51999047"
"chr17",21303089,21321279,"HARA_LUNG_AA_amplicon13_amplicon13","LUNG","17:21303089:21321279"
"chr17",21322821,21515210,"HARA_LUNG_AA_amplicon13_amplicon13","LUNG","17:21322821:21515210"
"chr7",57638731,57712235,"HARA_LUNG_AA_amplicon13_amplicon13","LUNG","7:57638731:57712235"
"chr11",34915517,35459414,"HARA_LUNG_AA_amplicon14_amplicon14","LUNG","11:34915517:35459414"
"chr8",127764075,127912370,"HARA_LUNG_AA_amplicon18_amplicon18","LUNG","8:127764075:127912370"
"chr13",103080909,103454147,"HCC1187_BREAST_AA_amplicon1_amplicon1","BREAST","13:103080909:103454147"
"chr2",87623739,87656118,"HCC1187_BREAST_AA_amplicon13_amplicon13","BREAST","2:87623739:87656118"
"chr22",17041849,17046819,"HCC1187_BREAST_AA_amplicon13_amplicon13","BREAST","22:17041849:17046819"
"chr22",17047954,17049054,"HCC1187_BREAST_AA_amplicon13_amplicon13","BREAST","22:17047954:17049054"
"chr10",82049129,82668356,"HCC1187_BREAST_AA_amplicon2_amplicon2","BREAST","10:82049129:82668356"
"chr9",12889267,13056060,"HCC1187_BREAST_AA_amplicon24_amplicon24","BREAST","9:12889267:13056060"
"chrX",52886720,55678946,"HCC1187_BREAST_AA_amplicon27_amplicon27","BREAST","X:52886720:55678946"
"chr19",16967052,17079511,"HCC1187_BREAST_AA_amplicon6_amplicon6","BREAST","19:16967052:17079511"
"chr17",15853889,15854029,"HCC1419_BREAST_AA_amplicon6_amplicon6","BREAST","17:15853889:15854029"
"chr17",66627671,66635233,"HCC1419_BREAST_AA_amplicon6_amplicon6","BREAST","17:66627671:66635233"
"chr17",66929049,66929338,"HCC1419_BREAST_AA_amplicon6_amplicon6","BREAST","17:66929049:66929338"
"chr8",36589505,37664114,"HCC1500_BREAST_AA_amplicon12_amplicon12","BREAST","8:36589505:37664114"
"chr12",18487107,19347687,"HCC1500_BREAST_AA_amplicon12_amplicon12","BREAST","12:18487107:19347687"
"chr12",19782191,19856849,"HCC1500_BREAST_AA_amplicon12_amplicon12","BREAST","12:19782191:19856849"
"chr20",48587991,49347653,"HCC1569_BREAST_AA_amplicon13_amplicon13","BREAST","20:48587991:49347653"
"chr7",148913615,149166216,"HCC1569_BREAST_AA_amplicon2_amplicon2","BREAST","7:148913615:149166216"
"chr8",117989156,118180998,"HCC1569_BREAST_AA_amplicon22_amplicon22","BREAST","8:117989156:118180998"
"chr8",128398944,128898754,"HCC1569_BREAST_AA_amplicon25_amplicon25","BREAST","8:128398944:128898754"
"chr19",29137998,30388814,"HCC1569_BREAST_AA_amplicon3_amplicon3","BREAST","19:29137998:30388814"
"chr19",30393098,30632031,"HCC1569_BREAST_AA_amplicon3_amplicon3","BREAST","19:30393098:30632031"
"chr19",30634837,31189300,"HCC1569_BREAST_AA_amplicon3_amplicon3","BREAST","19:30634837:31189300"
"chr8",119906552,119929211,"HCC1569_BREAST_AA_amplicon5_amplicon5","BREAST","8:119906552:119929211"
"chr8",119932034,119932807,"HCC1569_BREAST_AA_amplicon5_amplicon5","BREAST","8:119932034:119932807"
"chr8",119933571,120159375,"HCC1569_BREAST_AA_amplicon5_amplicon5","BREAST","8:119933571:120159375"
"chr17",37828555,37996806,"HCC1569_BREAST_AA_amplicon8_amplicon8","BREAST","17:37828555:37996806"
"chr8",52850091,53068654,"HCC1569_BREAST_AA_amplicon9_amplicon9","BREAST","8:52850091:53068654"
"chr2",62128226,62616146,"HCC1599_BREAST_AA_amplicon10_amplicon10","BREAST","2:62128226:62616146"
"chr2",62616221,62657651,"HCC1599_BREAST_AA_amplicon10_amplicon10","BREAST","2:62616221:62657651"
"chr3",156392757,156596758,"HCC1599_BREAST_AA_amplicon11_amplicon11","BREAST","3:156392757:156596758"
"chr19",40368301,40384423,"HCC1599_BREAST_AA_amplicon12_amplicon12","BREAST","19:40368301:40384423"
"chr5",697510,795356,"HCC1937_BREAST_AA_amplicon10_amplicon10","BREAST","5:697510:795356"
"chr5",22356643,22552078,"HCC1937_BREAST_AA_amplicon18_amplicon18","BREAST","5:22356643:22552078"
"chr17",37639780,38137773,"HCC1954_BREAST_AA_amplicon19_amplicon19","BREAST","17:37639780:38137773"
"chr20",59859213,59921798,"HCC1954_BREAST_AA_amplicon22_amplicon22","BREAST","20:59859213:59921798"
"chr11",100977409,103981588,"HCC1954_BREAST_AA_amplicon3_amplicon3","BREAST","11:100977409:103981588"
"chrX",149026359,149032056,"HCC202_BREAST_AA_amplicon12_amplicon12","BREAST","X:149026359:149032056"
"chr8",103436045,103499888,"HCC202_BREAST_AA_amplicon22_amplicon22","BREAST","8:103436045:103499888"
"chr8",103503346,103615936,"HCC202_BREAST_AA_amplicon22_amplicon22","BREAST","8:103503346:103615936"
"chr1",182163236,182266604,"HCC202_BREAST_AA_amplicon4_amplicon4","BREAST","1:182163236:182266604"
"chr20",56137109,56475713,"HCC2157_BREAST_AA_amplicon10_amplicon10","BREAST","20:56137109:56475713"
"chr10",5478617,5584691,"HCC2157_BREAST_AA_amplicon22_amplicon22","BREAST","10:5478617:5584691"
"chr1",41261597,41439905,"HCC2157_BREAST_AA_amplicon27_amplicon27","BREAST","1:41261597:41439905"
"chr17",75004025,75376919,"HCC2157_BREAST_AA_amplicon29_amplicon29","BREAST","17:75004025:75376919"
"chr11",34491111,34491529,"HCC2157_BREAST_AA_amplicon30_amplicon30","BREAST","11:34491111:34491529"
"chr11",34535782,34734541,"HCC2157_BREAST_AA_amplicon30_amplicon30","BREAST","11:34535782:34734541"
"chr11",34734553,34734675,"HCC2157_BREAST_AA_amplicon30_amplicon30","BREAST","11:34734553:34734675"
"chr8",116846089,116914558,"HCC2157_BREAST_AA_amplicon6_amplicon6","BREAST","8:116846089:116914558"
"chr8",116991826,117448887,"HCC2157_BREAST_AA_amplicon6_amplicon6","BREAST","8:116991826:117448887"
"chr8",128524616,128760756,"HCC2157_BREAST_AA_amplicon6_amplicon6","BREAST","8:128524616:128760756"
"chr5",683889,795366,"HCC38_BREAST_AA_amplicon15_amplicon15","BREAST","5:683889:795366"
"chrX",55070426,55586261,"HCC38_BREAST_AA_amplicon17_amplicon17","BREAST","X:55070426:55586261"
"chr3",148659095,150371598,"HCC38_BREAST_AA_amplicon2_amplicon2","BREAST","3:148659095:150371598"
"chr8",81006926,82009357,"HCC38_BREAST_AA_amplicon20_amplicon20","BREAST","8:81006926:82009357"
"chr5",3259963,6568401,"HCC44_LUNG_AA_amplicon10_amplicon10","LUNG","5:3259963:6568401"
"chr5",7479787,8514335,"HCC44_LUNG_AA_amplicon10_amplicon10","LUNG","5:7479787:8514335"
"chr5",8798544,9221351,"HCC44_LUNG_AA_amplicon10_amplicon10","LUNG","5:8798544:9221351"
"chr8",128066883,129245758,"HCC44_LUNG_AA_amplicon12_amplicon12","LUNG","8:128066883:129245758"
"chr8",129471266,129695572,"HCC44_LUNG_AA_amplicon12_amplicon12","LUNG","8:129471266:129695572"
"chr8",130060854,130064670,"HCC44_LUNG_AA_amplicon12_amplicon12","LUNG","8:130060854:130064670"
"chr5",4392562,5475124,"HCC70_BREAST_AA_amplicon11_amplicon11","BREAST","5:4392562:5475124"
"chr5",5476540,9180959,"HCC70_BREAST_AA_amplicon11_amplicon11","BREAST","5:5476540:9180959"
"chr7",53435474,54596486,"HCC827_LUNG_AA_amplicon7_amplicon7","LUNG","7:53435474:54596486"
"chr7",54597433,55699806,"HCC827_LUNG_AA_amplicon7_amplicon7","LUNG","7:54597433:55699806"
"chr7",54472368,54596486,"HCC827_LUNG_AA_amplicon7_amplicon7","LUNG","7:54472368:54596486"
"chr7",54597433,55264693,"HCC827_LUNG_AA_amplicon7_amplicon7","LUNG","7:54597433:55264693"
"chr21",17140035,17155994,"HCC827_LUNG_AA_amplicon9_amplicon9","LUNG","21:17140035:17155994"
"chr14",42310087,42384580,"HCC95_LUNG_AA_amplicon1_amplicon1","LUNG","14:42310087:42384580"
"chr11",34190920,36271792,"HCC95_LUNG_AA_amplicon12_amplicon12","LUNG","11:34190920:36271792"
"chr19",13119534,13120813,"HCC95_LUNG_AA_amplicon9_amplicon9","LUNG","19:13119534:13120813"
"chr19",13120915,13344887,"HCC95_LUNG_AA_amplicon9_amplicon9","LUNG","19:13120915:13344887"
"chr1",16877416,17008339,"HCT116_LARGE_INTESTINE_AA_amplicon1_amplicon1","LARGE","1:16877416:17008339"
"chr19",15431976,15785995,"HDQP1_BREAST_AA_amplicon21_amplicon21","BREAST","19:15431976:15785995"
"chr19",15786084,15866765,"HDQP1_BREAST_AA_amplicon21_amplicon21","BREAST","19:15786084:15866765"
"chr19",15888350,15888530,"HDQP1_BREAST_AA_amplicon21_amplicon21","BREAST","19:15888350:15888530"
"chr7",22370944,22426994,"HDQP1_BREAST_AA_amplicon23_amplicon23","BREAST","7:22370944:22426994"
"chr17",55047403,55151320,"HDQP1_BREAST_AA_amplicon9_amplicon9","BREAST","17:55047403:55151320"
"chr2",87623744,87644584,"HEPG2_LIVER_AA_amplicon4_amplicon4","LIVER","2:87623744:87644584"
"chr5",58200392,58288181,"HGC27_STOMACH_AA_amplicon1_amplicon1","STOMACH","5:58200392:58288181"
"chr5",58347960,58416862,"HGC27_STOMACH_AA_amplicon1_amplicon1","STOMACH","5:58347960:58416862"
"chr8",2094897,2278595,"HGC27_STOMACH_AA_amplicon2_amplicon2","STOMACH","8:2094897:2278595"
"chr22",17041849,17046526,"HGC27_STOMACH_AA_amplicon7_amplicon7","STOMACH","22:17041849:17046526"
"chr22",17046759,17048183,"HGC27_STOMACH_AA_amplicon7_amplicon7","STOMACH","22:17046759:17048183"
"chr22",17048778,17048828,"HGC27_STOMACH_AA_amplicon7_amplicon7","STOMACH","22:17048778:17048828"
"chr5",754169,847122,"HGC27_STOMACH_AA_amplicon8_amplicon8","STOMACH","5:754169:847122"
"chr7",106223800,107420595,"HS746T_STOMACH_AA_amplicon6_amplicon6","STOMACH","7:106223800:107420595"
"chr5",127145144,127145587,"HT115_LARGE_INTESTINE_AA_amplicon4_amplicon4","LARGE","5:127145144:127145587"
"chr5",127147026,127172331,"HT115_LARGE_INTESTINE_AA_amplicon4_amplicon4","LARGE","5:127147026:127172331"
"chr5",127173280,127300951,"HT115_LARGE_INTESTINE_AA_amplicon4_amplicon4","LARGE","5:127173280:127300951"
"chr5",127464363,127474237,"HT115_LARGE_INTESTINE_AA_amplicon4_amplicon4","LARGE","5:127464363:127474237"
"chr22",17041848,17046818,"HT1376_URINARY_TRACT_AA_amplicon17_amplicon17","URINARY","22:17041848:17046818"
"chr22",17047883,17048202,"HT1376_URINARY_TRACT_AA_amplicon17_amplicon17","URINARY","22:17047883:17048202"
"chr6",18995821,23480557,"HT1376_URINARY_TRACT_AA_amplicon4_amplicon4","URINARY","6:18995821:23480557"
"chr16",10559475,13162168,"HT1376_URINARY_TRACT_AA_amplicon4_amplicon4","URINARY","16:10559475:13162168"
"chr8",115166444,126595130,"HT29_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:115166444:126595130"
"chr8",126601134,127192209,"HT29_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:126601134:127192209"
"chr8",127194571,129465131,"HT29_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:127194571:129465131"
"chr8",129471266,135082928,"HT29_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:129471266:135082928"
"chr8",135089015,138742966,"HT29_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:135089015:138742966"
"chr8",138743861,142657116,"HT29_LARGE_INTESTINE_AA_amplicon13_amplicon13","LARGE","8:138743861:142657116"
"chr5",683788,795325,"IGR39_SKIN_AA_amplicon2_amplicon2","SKIN","5:683788:795325"
"chr1",104136872,104303493,"IGROV1_OVARY_AA_amplicon1_amplicon1","OVARY","1:104136872:104303493"
"chr8",2132728,2394048,"IM95_STOMACH_AA_amplicon7_amplicon7","STOMACH","8:2132728:2394048"
"chr3",168367896,169512093,"JHH1_LIVER_AA_amplicon8_amplicon8","LIVER","3:168367896:169512093"
"chr14",37639009,38923131,"JHH7_LIVER_AA_amplicon10_amplicon10","LIVER","14:37639009:38923131"
"chr17",76750940,77250877,"JHOS2_OVARY_AA_amplicon1_amplicon1","OVARY","17:76750940:77250877"
"chr10",21023593,21117813,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","10:21023593:21117813"
"chr10",21117871,21119083,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","10:21117871:21119083"
"chr10",21119488,21119672,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","10:21119488:21119672"
"chr10",21119870,21576574,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","10:21119870:21576574"
"chr10",22580621,22581887,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","10:22580621:22581887"
"chr10",22581899,22930947,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","10:22581899:22930947"
"chr10",22933143,22933276,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","10:22933143:22933276"
"chr10",22934102,22934497,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","10:22934102:22934497"
"chr10",22934562,22934618,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","10:22934562:22934618"
"chr10",22935004,24376836,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","10:22935004:24376836"
"chr10",24378507,24795281,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","10:24378507:24795281"
"chr10",24862695,24862808,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","10:24862695:24862808"
"chr10",24867832,24868037,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","10:24867832:24868037"
"chr1",150046146,150046253,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","1:150046146:150046253"
"chr1",150047088,150047214,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","1:150047088:150047214"
"chr1",150050744,150051205,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","1:150050744:150051205"
"chr1",150051710,150654920,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","1:150051710:150654920"
"chr1",152360695,152360912,"KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","1:152360695:152360912"
"chr3",41098233,41331601,"KATOIII_STOMACH_AA_amplicon6_amplicon6","STOMACH","3:41098233:41331601"
"chr12",22151209,22594925,"KE39_STOMACH_AA_amplicon1_amplicon1","STOMACH","12:22151209:22594925"
"chr12",23436400,24294028,"KE39_STOMACH_AA_amplicon1_amplicon1","STOMACH","12:23436400:24294028"
"chr12",24675016,24921075,"KE39_STOMACH_AA_amplicon1_amplicon1","STOMACH","12:24675016:24921075"
"chr12",25067729,25411773,"KE39_STOMACH_AA_amplicon1_amplicon1","STOMACH","12:25067729:25411773"
"chr16",33331667,33428529,"KLE_ENDOMETRIUM_AA_amplicon10_amplicon10","ENDOMETRIUM","16:33331667:33428529"
"chr6",296060,382460,"KLE_ENDOMETRIUM_AA_amplicon10_amplicon10","ENDOMETRIUM","6:296060:382460"
"chr19",38492082,40384422,"KLE_ENDOMETRIUM_AA_amplicon8_amplicon8","ENDOMETRIUM","19:38492082:40384422"
"chr19",40615760,41102932,"KLE_ENDOMETRIUM_AA_amplicon8_amplicon8","ENDOMETRIUM","19:40615760:41102932"
"chr19",45366376,45413593,"KLE_ENDOMETRIUM_AA_amplicon8_amplicon8","ENDOMETRIUM","19:45366376:45413593"
"chr20",11971426,12101869,"KNS62_LUNG_AA_amplicon5_amplicon5","LUNG","20:11971426:12101869"
"chr11",71125412,71290611,"KU1919_URINARY_TRACT_AA_amplicon1_amplicon1","URINARY","11:71125412:71290611"
"chr11",71290919,71306443,"KU1919_URINARY_TRACT_AA_amplicon1_amplicon1","URINARY","11:71290919:71306443"
"chr11",71311300,71611197,"KU1919_URINARY_TRACT_AA_amplicon1_amplicon1","URINARY","11:71311300:71611197"
"chr7",98728004,98784182,"KYSE180_OESOPHAGUS_AA_amplicon12_amplicon12","OESOPHAGUS","7:98728004:98784182"
"chr7",17415034,17472366,"KYSE180_OESOPHAGUS_AA_amplicon2_amplicon2","OESOPHAGUS","7:17415034:17472366"
"chr13",73834145,74066174,"KYSE30_OESOPHAGUS_AA_amplicon10_amplicon10","OESOPHAGUS","13:73834145:74066174"
"chr2",198344517,198467629,"KYSE30_OESOPHAGUS_AA_amplicon13_amplicon13","OESOPHAGUS","2:198344517:198467629"
"chr3",197111338,197117821,"KYSE30_OESOPHAGUS_AA_amplicon14_amplicon14","OESOPHAGUS","3:197111338:197117821"
"chr11",69793789,69945177,"KYSE30_OESOPHAGUS_AA_amplicon15_amplicon15","OESOPHAGUS","11:69793789:69945177"
"chr11",70793180,70811821,"KYSE30_OESOPHAGUS_AA_amplicon15_amplicon15","OESOPHAGUS","11:70793180:70811821"
"chr11",70904999,71123096,"KYSE30_OESOPHAGUS_AA_amplicon15_amplicon15","OESOPHAGUS","11:70904999:71123096"
"chr11",71279455,71475615,"KYSE30_OESOPHAGUS_AA_amplicon15_amplicon15","OESOPHAGUS","11:71279455:71475615"
"chr1",209429623,209631891,"KYSE30_OESOPHAGUS_AA_amplicon2_amplicon2","OESOPHAGUS","1:209429623:209631891"
"chr7",52710061,53596878,"KYSE30_OESOPHAGUS_AA_amplicon8_amplicon8","OESOPHAGUS","7:52710061:53596878"
"chr2",191239161,191536324,"KYSE30_OESOPHAGUS_AA_amplicon9_amplicon9","OESOPHAGUS","2:191239161:191536324"
"chr11",66195211,67158364,"KYSE410_OESOPHAGUS_AA_amplicon10_amplicon10","OESOPHAGUS","11:66195211:67158364"
"chr11",68740141,69081787,"KYSE410_OESOPHAGUS_AA_amplicon10_amplicon10","OESOPHAGUS","11:68740141:69081787"
"chr11",69253206,69258818,"KYSE410_OESOPHAGUS_AA_amplicon10_amplicon10","OESOPHAGUS","11:69253206:69258818"
"chr11",69530336,69710337,"KYSE410_OESOPHAGUS_AA_amplicon10_amplicon10","OESOPHAGUS","11:69530336:69710337"
"chr11",69946830,69954882,"KYSE410_OESOPHAGUS_AA_amplicon10_amplicon10","OESOPHAGUS","11:69946830:69954882"
"chr11",75157597,75525576,"KYSE410_OESOPHAGUS_AA_amplicon10_amplicon10","OESOPHAGUS","11:75157597:75525576"
"chr11",75747365,75773283,"KYSE410_OESOPHAGUS_AA_amplicon10_amplicon10","OESOPHAGUS","11:75747365:75773283"
"chr11",101895281,102049711,"KYSE410_OESOPHAGUS_AA_amplicon10_amplicon10","OESOPHAGUS","11:101895281:102049711"
"chr11",103316772,103396267,"KYSE410_OESOPHAGUS_AA_amplicon10_amplicon10","OESOPHAGUS","11:103316772:103396267"
"chr11",119985735,120100496,"KYSE410_OESOPHAGUS_AA_amplicon10_amplicon10","OESOPHAGUS","11:119985735:120100496"
"chr20",45914674,46342428,"KYSE410_OESOPHAGUS_AA_amplicon18_amplicon18","OESOPHAGUS","20:45914674:46342428"
"chr17",26025931,26380647,"KYSE410_OESOPHAGUS_AA_amplicon20_amplicon20","OESOPHAGUS","17:26025931:26380647"
"chr17",37661840,37760472,"KYSE410_OESOPHAGUS_AA_amplicon20_amplicon20","OESOPHAGUS","17:37661840:37760472"
"chr17",37830542,37836490,"KYSE410_OESOPHAGUS_AA_amplicon20_amplicon20","OESOPHAGUS","17:37830542:37836490"
"chr8",52588536,53087859,"KYSE410_OESOPHAGUS_AA_amplicon6_amplicon6","OESOPHAGUS","8:52588536:53087859"
"chr8",128195271,129182617,"KYSE450_OESOPHAGUS_AA_amplicon1_amplicon1","OESOPHAGUS","8:128195271:129182617"
"chr8",129184467,129184980,"KYSE450_OESOPHAGUS_AA_amplicon1_amplicon1","OESOPHAGUS","8:129184467:129184980"
"chr2",87623854,87629866,"KYSE450_OESOPHAGUS_AA_amplicon3_amplicon3","OESOPHAGUS","2:87623854:87629866"
"chr2",87644676,87656232,"KYSE450_OESOPHAGUS_AA_amplicon3_amplicon3","OESOPHAGUS","2:87644676:87656232"
"chr2",91696934,91701448,"KYSE450_OESOPHAGUS_AA_amplicon3_amplicon3","OESOPHAGUS","2:91696934:91701448"
"chr13",73618711,74342224,"KYSE520_OESOPHAGUS_AA_amplicon1_amplicon1","OESOPHAGUS","13:73618711:74342224"
"chr20",47636999,47708763,"KYSE520_OESOPHAGUS_AA_amplicon15_amplicon15","OESOPHAGUS","20:47636999:47708763"
"chr7",50086352,50101844,"KYSE520_OESOPHAGUS_AA_amplicon16_amplicon16","OESOPHAGUS","7:50086352:50101844"
"chr8",131626362,131785771,"KYSE70_OESOPHAGUS_AA_amplicon4_amplicon4","OESOPHAGUS","8:131626362:131785771"
"chr9",5702475,6729121,"KYSE70_OESOPHAGUS_AA_amplicon7_amplicon7","OESOPHAGUS","9:5702475:6729121"
"chr9",6730106,7017480,"KYSE70_OESOPHAGUS_AA_amplicon7_amplicon7","OESOPHAGUS","9:6730106:7017480"
"chr3",178835483,179625226,"KYSE70_OESOPHAGUS_AA_amplicon9_amplicon9","OESOPHAGUS","3:178835483:179625226"
"chr3",191613004,191717071,"LC1F_LUNG_AA_amplicon21_amplicon21","LUNG","3:191613004:191717071"
"chr19",48413567,48461391,"LC1F_LUNG_AA_amplicon7_amplicon7","LUNG","19:48413567:48461391"
"chr12",116522652,121237478,"LU99_LUNG_AA_amplicon4_amplicon4","LUNG","12:116522652:121237478"
"chr12",124537732,124537740,"LU99_LUNG_AA_amplicon4_amplicon4","LUNG","12:124537732:124537740"
"chr8",144174528,144286085,"MCF7_BREAST_AA_amplicon15_amplicon15","BREAST","8:144174528:144286085"
"chr20",39729439,39782001,"MCF7_BREAST_AA_amplicon3_amplicon3","BREAST","20:39729439:39782001"
